country,militaryDeaths,civilianAndMilitaryDeaths,Population,Continent
russia,10700000,24000000,110100000,Europe
germany,5533000,8800000,69300000,Europe
china,4000000,20000000,517568000,Asia
Japan,2120000,3100000,71380000,Asia
united states,416800,418500,13102800,North America
united kingdom,383600,450700,47760000,Europe
Italy,301400,457000,44394000,Europe
hungary,300000,580000,9129000,Europe
romania,300000,833000,15970000,Europe
austria,261000,384700,6653000,Europe
poland,240000,5600000,34849000,Europe
france,217600,567600,41680000,Europe
finland,95000,97000,3700000,Europe
india,87000,2500000,377800000,Asia
philippines,57000,1000000,16000303,Asia
canada,45400,45400,11267000,North America
australia,39800,40500,6968000,Oceania
greece,35000,800000,7222000,Europe
albania,30000,30200,1073000,Europe
czech republic,25000,345000,14612000,Europe
bulgaria,22000,25000,6458000,Europe
netherlands,17000,301000,8729000,Europe
belgium,12100,86100,8387000,Europe
new zealand,11900,11900,1629000,Oceania
south africa,11900,11900,10160000,Africa
ethiopia,5000,100000,17700000,Africa
norway,3000,9500,2945000,Europe
thailiand,2000,5600,1502300,Asia
denmark,2100,3200,3795000,Europe
brazil,1000,2000,40289000,South America
Irap,200,500,3698000,Asia
Turkey,200,200,17370000,Asia
Sweden,100,2000,6341000,Europe
Iran,,200,14340000,Asia
Luxembourg,,5000,295000,Europe
estonia,,51000,1134000,Europe
Latvia,,227000,1994500,Europe
Lithuania,,353000,2575000,Europe
singapore,,50000,902000,Asia
papua new guinea,,15000,1292000,Oceania
malaysia,,100000,5118000,Asia
