"country,longitude,latitude,militaryDeaths,civilianAndMilitaryDeaths,Population,Continent"
"russia,37,55,10700000,24000000,110100000,Europe"
"germany,13,53,5533000,8800000,69300000,Europe"
"china,116,40,4000000,20000000,517568000,Asia"
"Japan,139,35,2120000,3100000,71380000,Asia"
"united states,-77,39,416800,418500,13102800,North America"
"united kingdom,0.1,51,383600,450700,47760000,Europe"
"Italy,10,40,301400,457000,44394000,Europe"
"hungary,15,47,300000,580000,9129000,Europe"
"romania,25,45,300000,833000,15970000,Europe"
"austria,15,48,261000,384700,6653000,Europe"
"poland,19,51,240000,5600000,34849000,Europe"
"france,2,48,217600,567600,41680000,Europe"
"finland,25,65,95000,97000,3700000,Europe"
"india,77,28,87000,2500000,377800000,Asia"
"philippines,120,15,57000,1000000,16000303,Asia"
"canada,-123,49,45400,45400,11267000,North America"
"australia,149,-35,39800,40500,6968000,Oceania"
"greece,23,38,35000,800000,7222000,Europe"
"albania,20,41,30000,30200,1073000,Europe"
"czech republic,15,50,25000,345000,14612000,Europe"
"bulgaria,25,42,22000,25000,6458000,Europe"
"netherlands,5,52,17000,301000,8729000,Europe"
"belgium,4,50,12100,86100,8387000,Europe"
"new zealand,175,-41,11900,11900,1629000,Oceania"
"south africa,28,-25,11900,11900,10160000,Africa"
"ethiopia,40,9,5000,100000,17700000,Africa"
"norway,10,59,3000,9500,2945000,Europe"
"thailiand,100,13,2000,5600,1502300,Asia"
"denmark,12,55,2100,3200,3795000,Europe"
"brazil,-43,-22,1000,2000,40289000,South America"
"Irap,48,36,200,500,3698000,Asia"
"Turkey,28,41,200,200,17370000,Asia"
"Sweden,20,60,100,2000,6341000,Europe"
"Iran,51,35,,200,14340000,Asia"
"Luxembourg,6,49,,5000,295000,Europe"
"estonia,24,59,,51000,1134000,Europe"
"Latvia,24,56,,227000,1994500,Europe"
"Lithuania,25,54,,353000,2575000,Europe"
"singapore,104,1,,50000,902000,Asia"
"papua new guinea,147,-9,,15000,1292000,Oceania"
"malaysia,101,3,,100000,5118000,Asia"
